text,label
"Fast shipping and neat packaging. Very happy.",positive
"Quality is below expectations. Would not buy again.",negative
"Great value for the price. Highly recommend!",positive
"Customer support was rude and unhelpful.",negative
"Beautiful design and easy to use.",positive
"Broke after one week. Requesting a refund.",negative
"Delicious and generous portions. Ordered again.",positive
"Too salty and greasy. Disappointed.",negative
"The app is intuitive and setup was simple.",positive
"Keeps logging me out. Very annoying.",negative
"Battery lasts all day. Perfect for travel.",positive
"Too loud to use at night.",negative
"Colors match the photos exactly. Love it.",positive
"Runs small. Had to exchange for a larger size.",negative
"Clear instructions made installation easy.",positive
"Manual is confusing and poorly written.",negative
"Feels like a great deal for the money.",positive
"Strong chemical smell out of the box.",negative
"Quick delivery and careful packaging. Thanks!",positive
"Payment failed twice. Frustrating checkout.",negative
"My kid loves it. Will buy again.",positive
"Material feels thin and flimsy.",negative
"Subtle scent and long-lasting.",positive
"Box arrived crushed. Disappointed.",negative
"Clean UI and snappy performance.",positive
"Latest update introduced many bugs.",negative
"Staff was friendly and helpful on the phone.",positive
"Wait time was way too long.",negative
"Perfect gift packaging.",positive
"Refund process was slow and complicated.",negative
"Even better looking in person. Satisfied!",positive
"Connection drops constantly. Hard to use.",positive
"Followed the recipe and it tasted amazing.",positive
"Received item close to expiration date.",negative
"Lightweight and easy to carry.",positive
"Overpriced with no standout features.",negative
"Warm and cozy. Great for winter.",positive
"Shrunk badly after the first wash.",negative
"Fast response and a solid fix. Appreciate it.",positive
"Too many notifications. Very distracting.",negative
"I don't want to come back here again.",negative
"I dont want to come back here again.",negative
"Never coming back to this place.",negative
"Would not return or recommend to anyone.",negative
"Don't want to waste money here again.",negative
"Won't be coming back after that service.",negative
"Terrible experience. Do not want a repeat visit.",negative
"Can't wait to come back next year!",positive
"We will definitely come back soon.",positive
"I wont come back here.",negative
"I won't come back here ever.",negative
"Will not be coming back to this store.",negative
"Can't wait to come back next month!",positive
